season,qb_name,dropbacks,epa,epa_per_db,ints,sacks,air_yards,comp,att,yac,int_rate,sack_rate,ay_per_att,yac_per_comp,team,db_x,team_dropbacks,team_sacks,team_sack_rate_allowed,team_yac,team_completions,team_yac_per_comp,db_y,no_huddle_plays,team_no_huddle_rate,next_epa_per_db,seasons_seen
2018,A.Dalton,396,25.488327,0.06436446,11,21,2947.0,226.0,384,1142.0,0.027777777777777776,0.05303030303030303,7.674479166666667,5.0530972,CIN,396,603,37,0.06135986733001658,1648.0,331.0,4.978852,603,20,0.03316749585406302,-0.032146405,1
2019,A.Dalton,570,-18.323452,-0.032146405,14,37,4278.0,314.0,560,1547.0,0.02456140350877193,0.06491228070175438,7.639285714285714,4.9267516,CIN,570,675,48,0.07111111111111111,1753.0,356.0,4.924157,675,29,0.04296296296296296,-0.02319679,2
2020,A.Dalton,372,-8.629206,-0.02319679,8,24,2289.0,216.0,357,1043.0,0.021505376344086023,0.06451612903225806,6.411764705882353,4.828704,DAL,372,708,44,0.062146892655367235,2060.0,413.0,4.9878936,708,126,0.17796610169491525,-0.10346177,3
2021,A.Dalton,268,-27.727755,-0.10346177,9,18,1642.0,149.0,256,752.0,0.033582089552238806,0.06716417910447761,6.4140625,5.04698,CHI,268,659,58,0.08801213960546282,1600.0,332.0,4.8192773,659,80,0.12139605462822459,0.018560724,4
2022,A.Dalton,415,7.7027006,0.018560724,9,25,2981.0,252.0,404,1318.0,0.021686746987951807,0.060240963855421686,7.378712871287129,5.230159,NO,415,564,38,0.0673758865248227,1622.0,338.0,4.7988167,564,59,0.10460992907801418,-0.14934948,5
2024,A.Dalton,174,-25.986809,-0.14934948,6,7,1062.0,106.0,168,459.0,0.034482758620689655,0.040229885057471264,6.321428571428571,4.3301888,CAR,174,628,36,0.05732484076433121,1431.0,341.0,4.1964808,628,57,0.09076433121019108,,6
2018,A.Luck,679,96.19278,0.1416683,15,18,4770.0,430.0,658,1975.0,0.022091310751104567,0.026509572901325478,7.249240121580547,4.5930233,IND,679,684,18,0.02631578947368421,1976.0,432.0,4.5740743,684,91,0.13304093567251463,,1
2023,A.O'Connell,367,-22.13713,-0.06031916,7,24,2561.0,213.0,367,1058.0,0.01907356948228883,0.0653950953678474,6.978201634877384,4.9671364,LV,367,606,40,0.066006600660066,1606.0,348.0,4.6149426,606,46,0.07590759075907591,0.019702462,1
2024,A.O'Connell,257,5.063533,0.019702462,4,10,1921.0,154.0,254,731.0,0.01556420233463035,0.038910505836575876,7.562992125984252,4.746753,LV,257,703,50,0.07112375533428165,2061.0,410.0,5.0268292,703,94,0.1337126600284495,,2
2024,A.Richardson,298,-34.954926,-0.11729841,12,14,3224.0,126.0,277,776.0,0.040268456375838924,0.04697986577181208,11.63898916967509,6.15873,IND,298,569,32,0.056239015817223195,1457.0,289.0,5.0415225,569,67,0.11775043936731107,,1
2018,A.Rodgers,680,76.73986,0.11285274,2,49,5241.0,372.0,647,2134.0,0.0029411764705882353,0.07205882352941176,8.10046367851623,5.736559,GB,680,730,53,0.07260273972602739,2197.0,392.0,5.604592,730,84,0.11506849315068493,0.09774468,1
2019,A.Rodgers,632,61.77464,0.09774468,4,36,5006.0,353.0,606,2020.0,0.006329113924050633,0.056962025316455694,8.26072607260726,5.7223797,GB,632,636,36,0.05660377358490566,2034.0,356.0,5.7134833,636,27,0.04245283018867924,0.34095463,2
2020,A.Rodgers,567,193.32127,0.34095463,5,20,4135.0,372.0,543,2248.0,0.008818342151675485,0.03527336860670194,7.615101289134438,6.0430107,GB,567,568,21,0.03697183098591549,2248.0,372.0,6.0430107,568,21,0.03697183098591549,0.3136429,3
2021,A.Rodgers,295,92.52465,0.3136429,1,13,1977.0,193.0,287,1196.0,0.003389830508474576,0.04406779661016949,6.888501742160279,6.1968913,GB,295,647,33,0.05100463678516229,2410.0,402.0,5.9950247,647,31,0.04791344667697063,-0.0062527736,4
2022,A.Rodgers,588,-3.6766307,-0.0062527736,12,32,4327.0,350.0,575,1899.0,0.02040816326530612,0.05442176870748299,7.525217391304348,5.4257145,GB,588,608,32,0.05263157894736842,2016.0,364.0,5.5384617,608,45,0.07401315789473684,0.0069039003,5
2024,A.Rodgers,643,4.439208,0.0069039003,11,40,4014.0,368.0,627,2122.0,0.017107309486780714,0.06220839813374806,6.401913875598086,5.7663045,NYJ,643,671,40,0.05961251862891207,2190.0,385.0,5.6883116,671,69,0.10283159463487332,0.03182916,6
2025,A.Rodgers,539,17.155916,0.03182916,7,29,3010.0,327.0,527,2119.0,0.012987012987012988,0.05380333951762523,5.71157495256167,6.480122,PIT,539,594,31,0.05218855218855219,2373.0,365.0,6.50137,594,83,0.13973063973063973,,7
