season,qb_name,team,dropbacks,QBVision_Rating,next_QBVision_Rating,epa_per_db,context_pred_epa_per_db,skill_residual,int_rate,sack_rate,ay_per_att,yac_per_comp,team_sack_rate_allowed,team_yac_per_comp,team_no_huddle_rate,efficiency_score,decision_score,explosiveness_score,mobility_score
2018,A.Dalton,CIN,396,50.0370856632848,42.056903115865026,0.06436446,0.04479627872855599,0.01956818127144401,0.0277777777777777,0.053030303030303,7.674479166666667,5.0530972,0.0613598673300165,4.978852,0.033167495854063,0.08416873567712424,-0.27597070027793447,0.10625951724227364,0.0
2019,A.Dalton,CIN,570,42.056903115865026,38.634966948274254,-0.032146405,0.008325679616519064,-0.04047208461651906,0.0245614035087719,0.0649122807017543,7.639285714285714,4.9267516,0.0711111111111111,4.924157,0.0429629629629629,-0.6265380053896361,-0.32040384390006243,0.03013802089759009,0.0
2020,A.Dalton,DAL,372,38.634966948274254,36.539282692296304,-0.02319679,0.024301265391428892,-0.04749805539142889,0.021505376344086,0.064516129032258,6.411764705882353,4.828704,0.0621468926553672,4.9878936,0.1779661016949152,-0.7009530379937561,-0.32041206134246997,-1.042350342041584,0.0
2021,A.Dalton,CHI,268,36.539282692296304,51.41948921092678,-0.10346177,-0.06327817545206249,-0.040183594547937504,0.0335820895522388,0.0671641791044776,6.4140625,5.04698,0.0880121396054628,4.8192773,0.1213960546282245,-0.9667374444154151,-1.0357211832621136,-1.3215503479785287,0.0
2022,A.Dalton,NO,415,51.41948921092678,27.947152120536753,0.018560724,0.005634959094564414,0.012925764905435587,0.0216867469879518,0.0602409638554216,7.378712871287129,5.230159,0.0673758865248227,4.7988167,0.1046099290780141,-0.02168625719443197,-0.12427726549292686,0.15915334415012103,0.0
2024,A.Dalton,CAR,174,27.947152120536753,,-0.14934948,0.006143462995003318,-0.15549294299500332,0.0344827586206896,0.0402298850574712,6.321428571428571,4.3301888,0.0573248407643312,4.1964808,0.090764331210191,-1.2551567746486754,-0.57323218384153,-0.91709272707253,0.0
2018,A.Luck,IND,679,56.28499952110968,,0.1416683,0.12439304411824612,0.01727525588175388,0.0220913107511045,0.0265095729013254,7.249240121580547,4.5930233,0.0263157894736842,4.5740743,0.1330409356725146,0.7183554285029456,0.5897978385102121,-0.38938444728271093,0.0
2023,A.O'Connell,LV,367,46.378517335498664,55.00775836923374,-0.06031916,0.0033097917047566275,-0.06362895170475663,0.0190735694822888,0.0653950953678474,6.978201634877384,4.9671364,0.066006600660066,4.6149426,0.0759075907590759,-0.28249308663784195,0.21533503001940224,-0.2209936828376722,0.0
2024,A.O'Connell,LV,257,55.00775836923374,,0.019702462,0.0025945546284461447,0.017107907371553856,0.0155642023346303,0.0389105058365758,7.562992125984252,4.746753,0.0711237553342816,5.0268292,0.1337126600284495,-0.017211068286136867,0.7811281363762925,0.3076223231982642,0.0
2024,A.Richardson,IND,298,37.13558299609875,,-0.11729841,0.054470624486278485,-0.1717690344862785,0.0402684563758389,0.046979865771812,11.63898916967509,6.15873,0.0562390158172231,5.0415225,0.117750439367311,-1.0590534403209504,-1.1036730738312897,4.33456351206017,0.0
2018,A.Rodgers,GB,680,63.634273290136235,57.64397565285065,0.11285274,0.033041145018804716,0.07981159498119529,0.0029411764705882,0.0720588235294117,8.10046367851623,5.736559,0.0726027397260273,5.604592,0.1150684931506849,0.48891009706402444,1.2197989260544007,0.6362537322295736,0.0
2019,A.Rodgers,GB,632,57.64397565285065,76.68635481596169,0.09774468,0.10116370562548085,-0.0034190256254808538,0.0063291139240506,0.0569620253164556,8.26072607260726,5.7223797,0.0566037735849056,5.7134833,0.0424528301886792,0.4466056420262152,1.0138261688198993,0.8172114960954182,0.0
2020,A.Rodgers,GB,567,76.68635481596169,78.80539184876784,0.34095463,0.18528865703111763,0.15566597296888235,0.0088183421516754,0.0352733686067019,7.615101289134438,6.0430107,0.0369718309859154,6.0430107,0.0369718309859154,2.0692746845105474,1.507661321411791,0.6047698177662075,0.0
2021,A.Rodgers,GB,295,78.80539184876784,43.00748033107375,0.3136429,0.1349578428084681,0.1786850571915319,0.0033898305084745,0.0440677966101694,6.888501742160279,6.1968913,0.0510046367851622,5.9950247,0.0479134466769706,2.0339221672105143,1.6578524722495274,-0.3644989390711755,0.0
2022,A.Rodgers,GB,588,43.00748033107375,44.121406529938,-0.0062527736,0.1002475522572556,-0.10650032585725559,0.0204081632653061,0.0544217687074829,7.525217391304348,5.4257145,0.0526315789473684,5.5384617,0.0740131578947368,-0.21130785490006265,0.136136565361466,0.3474728493761686,0.0
2024,A.Rodgers,NYJ,643,44.121406529938,42.28203483626359,0.0069039003,0.08214159156965121,-0.07523769126965121,0.0171073094867807,0.062208398133748,6.401913875598086,5.7663045,0.059612518628912,5.6883116,0.1028315946348733,-0.14770133392738827,0.24588220593339394,-0.6391916154479381,0.0
2025,A.Rodgers,PIT,539,42.28203483626359,,0.03182916,0.14825227552237222,-0.11642311552237222,0.0129870129870129,0.0538033395176252,5.71157495256167,6.480122,0.0521885521885521,6.50137,0.1397306397306397,0.019294867730910686,0.6579798198284907,-1.2809718831651045,0.0
2018,A.Smith,WAS,370,47.63057057221225,18.917686165085982,-0.023299588,-0.009344122470175187,-0.013955465529824813,0.0135135135135135,0.0594594594594594,7.593123209169055,4.756098,0.074074074074074,4.858521,0.0757575757575757,-0.5320108603913468,0.6593409133900389,-0.0200013872177439,0.0
2020,A.Smith,WAS,277,18.917686165085982,,-0.13708828,0.030814931368839622,-0.16790321136883962,0.0288808664259927,0.0794223826714801,4.693430656934306,5.6488094,0.07451564828614,5.622108,0.0909090909090909,-1.5874912924936087,-1.3364078354242053,-2.938931977178159,0.0
2021,Aa.Rodgers,GB,281,63.083061629249556,,0.16953528,0.1349578428084681,0.03457743719153192,0.0106761565836298,0.0604982206405693,7.746323529411764,5.6705203,0.0510046367851622,5.9950247,0.0479134466769706,0.9932811529835388,0.7464562406520455,0.7877425946023795,0.0
2020,B.Allen,CIN,154,32.34707563021233,,-0.106277,-0.005411453454221664,-0.10086554654577834,0.0259740259740259,0.0454545454545454,6.308724832214765,6.188889,0.073959938366718,4.8172045,0.0292758089368258,-1.2952350468798204,-0.3088774717661286,-0.9222916935867203,0.0
2018,B.Bortles,JAX,475,35.885439563804724,,-0.07458917,0.005404909760368025,-0.07999407976036801,0.0231578947368421,0.0652631578947368,6.626146788990826,6.0576134,0.0821705426356589,5.5471125,0.0589147286821705,-0.9514902428593179,-0.14507403518055212,-0.7939269065104058,0.0
2025,B.Cook,NYJ,180,1.3023878798840514,,-0.3876635,-0.11546131633067672,-0.27220218366932325,0.0388888888888888,0.1055555555555555,5.011560693641618,4.7386365,0.097879282218597,4.439597,0.1060358890701468,-3.110255369076654,-2.0855533037579224,-2.2883703908678212,0.0
2018,B.Mayfield,CLE,532,50.464672485651285,38.56773630523443,0.056022562,0.07465107091261464,-0.01862850891261464,0.0263157894736842,0.0469924812030075,8.766990291262136,5.4774194,0.0590979782270606,5.4192634,0.0544323483670295,0.03681966861244164,-0.0666122237298567,1.2656794562899223,0.0
2019,B.Mayfield,CLE,591,38.56773630523443,63.839970387516566,-0.011350501,0.06038482059776609,-0.07173532159776609,0.0355329949238578,0.0676818950930626,7.867595818815331,5.741325,0.0686767169179229,5.7389936,0.0619765494137353,-0.5060615123408481,-1.0850768524008518,0.4025353477874132,0.0
2020,B.Mayfield,CLE,533,63.839970387516566,45.806071744278555,0.16940716,0.05871108320218185,0.11069607679781815,0.0150093808630394,0.048780487804878,8.13976377952756,4.462295,0.0474452554744525,4.463492,0.052919708029197,0.7640324301371885,0.6326230004324662,0.9466274957900133,0.0
2021,B.Mayfield,CLE,487,45.806071744278555,20.376318006806272,-0.016615497,-0.0027412315976856755,-0.013874265402314324,0.0266940451745379,0.0882956878850102,7.91991341991342,5.41502,0.0816666666666666,5.459375,0.0966666666666666,-0.380123424133617,-1.0567642430516269,0.9878511441702751,0.0
2022,B.Mayfield,CAR,386,20.376318006806272,60.94910814205356,-0.14124799,0.08481342839242417,-0.22606141839242416,0.0207253886010362,0.0932642487046632,6.134770889487871,5.626866,0.0705882352941176,6.4194756,0.1254901960784313,-1.3985542380939686,-0.6996502108488272,-1.1093584976922712,0.0
2023,B.Mayfield,TB,639,60.94910814205356,61.2168365052295,0.0728227,0.05005544824912656,0.022767251750873442,0.0156494522691705,0.0625978090766823,7.954022988505747,5.2939563,0.0624024960998439,5.2939563,0.1060842433697348,0.6431258202986937,0.48115398664687686,0.8492393333142629,0.0
2024,B.Mayfield,TB,654,61.2168365052295,50.7763687584402,0.19428301,0.09689847333418652,0.09738453666581348,0.0244648318042813,0.0611620795107033,6.488562091503268,5.970516,0.0610687022900763,5.97549,0.0778625954198473,1.1403629225374738,-0.2522712545431323,-0.5290465223274838,0.0
2025,B.Mayfield,TB,626,50.7763687584402,,0.059431825,0.08600664182738305,-0.026574816827383045,0.0175718849840255,0.0575079872204472,7.544520547945205,5.606414,0.0590062111801242,5.6267805,0.0605590062111801,0.19544117996944954,0.27585589552223555,0.5026472321030787,0.0
2024,B.Nix,DEN,641,48.991750428325126,54.718375252154864,0.059298083,0.13762431296332556,-0.07832622996332556,0.0187207488299532,0.0374414976599064,6.964467005076142,5.505319,0.0372093023255813,5.5118732,0.1674418604651162,0.25221583576943923,0.5860942550690199,-0.14762821972552226,0.0
2025,B.Nix,DEN,674,54.718375252154864,,0.1177451,0.14201096669013719,-0.02426586669013718,0.016320474777448,0.0326409495548961,7.032915360501567,5.39433,0.0340236686390532,5.39433,0.1627218934911242,0.6513797505220009,0.8327308245715529,-0.06686707117089258,0.0
2018,B.Osweiler,MIA,199,44.20655176373617,,-0.03757643,-0.0481707185505471,0.010594288550547101,0.0201005025125628,0.0854271356783919,7.302564102564102,5.920354,0.1005802707930367,5.89726,0.1605415860735009,-0.7009817890227266,-0.2629808362240795,-0.13624900172460355,0.0
2022,B.Purdy,SF,187,60.65124873765218,79.75153703146127,0.1973795,0.15552219464486425,0.041857305355135765,0.0213903743315508,0.0588235294117647,6.171270718232044,6.1929827,0.0557553956834532,6.6153846,0.0413669064748201,1.4579987127201346,-0.06250024863235468,-0.9793224851698844,0.0
2023,B.Purdy,SF,486,79.75153703146127,65.71354517359889,0.31149837,0.12794382315806743,0.1835545468419326,0.022633744855967,0.0576131687242798,7.754797441364605,6.603896,0.0628465804066543,6.514881,0.0295748613678373,2.2646026288721703,0.10394136860236071,0.8463836305652226,0.0
2024,B.Purdy,SF,526,65.71354517359889,62.77888114763156,0.18404524,0.0679023908130538,0.1161428491869462,0.0228136882129277,0.05893536121673,8.101659751037344,5.4066668,0.0588235294117647,5.269341,0.0473856209150326,1.0772544171739618,-0.0953899550926091,0.9064846284078232,0.0
2025,B.Purdy,SF,316,62.77888114763156,,0.2018004,0.07602752352634523,0.12577287647365476,0.0316455696202531,0.0348101265822784,7.241610738255034,4.208122,0.0429252782193958,4.4874372,0.0445151033386327,1.1981066168670136,-0.25076398748665973,-0.03462550737982993,0.0
2018,B.Roethlisberger,PIT,713,58.29348069131255,47.58450489640579,0.19015749,0.18017434768394625,0.009983142316053767,0.0224403927068723,0.0336605890603085,7.4950071326676175,6.10177,0.0329218106995884,6.050109,0.1851851851851851,1.0648373000229716,0.44304785552170955,0.0840258785004691,0.0
